Start pack to DataLoader... Done!
Start training...
Epoch: 70, Avg_Epoch_Time: 15.7352, LossD: 1.1659, LossG: 1.1087
Epoch: 71, Avg_Epoch_Time: 17.1761, LossD: 1.0404, LossG: 1.5526
Epoch: 72, Avg_Epoch_Time: 15.6986, LossD: 0.9410, LossG: 2.3132
Epoch: 73, Avg_Epoch_Time: 17.0382, LossD: 0.9747, LossG: 1.5557
Epoch: 74, Avg_Epoch_Time: 15.7042, LossD: 0.9239, LossG: 1.6066
Epoch: 75, Avg_Epoch_Time: 17.0421, LossD: 1.0092, LossG: 1.7403
Epoch: 76, Avg_Epoch_Time: 15.7119, LossD: 1.1006, LossG: 1.4310
Epoch: 77, Avg_Epoch_Time: 17.0352, LossD: 0.6538, LossG: 2.0664
Epoch: 78, Avg_Epoch_Time: 15.7394, LossD: 0.9199, LossG: 1.1609
Epoch: 79, Avg_Epoch_Time: 17.0640, LossD: 1.2725, LossG: 0.3174
Epoch: 80, Avg_Epoch_Time: 15.6868, LossD: 0.5508, LossG: 1.8538
Epoch: 81, Avg_Epoch_Time: 17.2391, LossD: 0.5159, LossG: 2.0107
Epoch: 82, Avg_Epoch_Time: 15.6891, LossD: 1.3357, LossG: 0.8455
Epoch: 83, Avg_Epoch_Time: 17.0924, LossD: 0.4752, LossG: 1.9709
Epoch: 84, Avg_Epoch_Time: 15.6697, LossD: 0.6770, LossG: 2.0099
Epoch: 85, Avg_Epoch_Time: 17.1239, LossD: 0.5499, LossG: 1.9424
Epoch: 86, Avg_Epoch_Time: 15.6965, LossD: 0.7424, LossG: 2.3281
Epoch: 87, Avg_Epoch_Time: 15.6733, LossD: 1.3630, LossG: 0.4151
Epoch: 88, Avg_Epoch_Time: 17.0613, LossD: 0.4399, LossG: 2.1484
Epoch: 89, Avg_Epoch_Time: 15.7099, LossD: 0.8794, LossG: 1.2483
Epoch: 90, Avg_Epoch_Time: 17.0629, LossD: 0.6800, LossG: 1.8494
Epoch: 91, Avg_Epoch_Time: 15.8683, LossD: 0.4600, LossG: 2.0714
Epoch: 92, Avg_Epoch_Time: 17.0531, LossD: 1.1700, LossG: 1.4961
Epoch: 93, Avg_Epoch_Time: 15.7243, LossD: 0.5451, LossG: 1.8369
Epoch: 94, Avg_Epoch_Time: 17.0532, LossD: 0.8712, LossG: 1.4950
