nohup: ignoring input
Ep 7300 Up 244398: mean reward 12.91, max_reward 62.0, actual_mean_reward 45.36
Ep 7400 Up 252201: mean reward 12.39, max_reward 69.0, actual_mean_reward 31.19
Ep 7500 Up 260844: mean reward 13.25, max_reward 66.0, actual_mean_reward 44.72
Ep 7600 Up 270211: mean reward 14.42, max_reward 66.0, actual_mean_reward 41.88
Ep 7700 Up 278880: mean reward 14.03, max_reward 88.0, actual_mean_reward 45.52
Ep 7800 Up 287183: mean reward 13.64, max_reward 59.0, actual_mean_reward 29.75
Ep 7900 Up 296079: mean reward 15.64, max_reward 52.0, actual_mean_reward 62.07
Ep 8000 Up 306278: mean reward 15.82, max_reward 63.0, actual_mean_reward 45.31
Ep 8100 Up 315621: mean reward 15.73, max_reward 93.0, actual_mean_reward 66.68
Ep 8200 Up 325350: mean reward 15.81, max_reward 83.0, actual_mean_reward 58.66
Ep 8300 Up 334683: mean reward 15.38, max_reward 85.0, actual_mean_reward 52.75
Ep 8400 Up 345602: mean reward 15.94, max_reward 87.0, actual_mean_reward 55.63
Ep 8500 Up 354744: mean reward 14.73, max_reward 70.0, actual_mean_reward 65.37
Ep 8600 Up 365609: mean reward 15.39, max_reward 87.0, actual_mean_reward 66.71
Ep 8700 Up 377518: mean reward 16.87, max_reward 73.0, actual_mean_reward 56.97
Ep 8800 Up 387819: mean reward 15.86, max_reward 93.0, actual_mean_reward 52.18
Ep 8900 Up 397712: mean reward 14.97, max_reward 87.0, actual_mean_reward 60.58
Ep 9000 Up 407884: mean reward 15.83, max_reward 89.0, actual_mean_reward 66.21
Ep 9100 Up 419168: mean reward 17.96, max_reward 89.0, actual_mean_reward 60.27
Ep 9200 Up 428701: mean reward 15.39, max_reward 60.0, actual_mean_reward 35.07
Ep 9300 Up 437588: mean reward 14.04, max_reward 94.0, actual_mean_reward 60.57
Ep 9400 Up 449698: mean reward 17.81, max_reward 78.0, actual_mean_reward 54.58
Ep 9500 Up 460209: mean reward 15.23, max_reward 85.0, actual_mean_reward 55.64
Ep 9600 Up 469681: mean reward 16.90, max_reward 82.0, actual_mean_reward 56.62
Ep 9700 Up 479556: mean reward 15.47, max_reward 68.0, actual_mean_reward 56.09
Ep 9800 Up 490712: mean reward 17.86, max_reward 62.0, actual_mean_reward 66.04
Ep 9900 Up 501118: mean reward 16.54, max_reward 67.0, actual_mean_reward 65.99
Ep 10000 Up 511129: mean reward 14.82, max_reward 73.0, actual_mean_reward 59.14
Ep 10100 Up 521396: mean reward 16.02, max_reward 96.0, actual_mean_reward 64.66
Ep 10200 Up 532575: mean reward 16.58, max_reward 81.0, actual_mean_reward 44.79
Ep 10300 Up 544147: mean reward 15.04, max_reward 95.0, actual_mean_reward 56.85
Ep 10400 Up 555152: mean reward 14.90, max_reward 102.0, actual_mean_reward 34.80
Ep 10500 Up 563983: mean reward 14.73, max_reward 89.0, actual_mean_reward 72.51
Ep 10600 Up 571802: mean reward 12.65, max_reward 98.0, actual_mean_reward 52.06
Ep 10700 Up 581989: mean reward 16.97, max_reward 88.0, actual_mean_reward 76.73
Ep 10800 Up 593855: mean reward 16.56, max_reward 83.0, actual_mean_reward 71.54
Ep 10900 Up 606220: mean reward 17.73, max_reward 97.0, actual_mean_reward 65.54
Ep 11000 Up 616966: mean reward 15.66, max_reward 84.0, actual_mean_reward 63.37
Ep 11100 Up 628942: mean reward 16.21, max_reward 86.0, actual_mean_reward 62.61
Ep 11200 Up 638682: mean reward 15.74, max_reward 87.0, actual_mean_reward 50.04
Ep 11300 Up 649523: mean reward 14.53, max_reward 80.0, actual_mean_reward 59.74
Ep 11400 Up 661849: mean reward 18.50, max_reward 87.0, actual_mean_reward 61.59
Ep 11500 Up 672650: mean reward 16.64, max_reward 84.0, actual_mean_reward 67.32
Ep 11600 Up 684055: mean reward 17.44, max_reward 93.0, actual_mean_reward 60.74
Ep 11700 Up 693433: mean reward 15.31, max_reward 85.0, actual_mean_reward 55.10
Ep 11800 Up 703853: mean reward 17.18, max_reward 101.0, actual_mean_reward 67.47
Ep 11900 Up 715459: mean reward 16.68, max_reward 102.0, actual_mean_reward 44.79
Ep 12000 Up 727898: mean reward 17.64, max_reward 90.0, actual_mean_reward 66.79
Ep 12100 Up 740583: mean reward 16.68, max_reward 98.0, actual_mean_reward 65.72
Ep 12200 Up 752249: mean reward 15.11, max_reward 86.0, actual_mean_reward 64.93
Ep 12300 Up 763025: mean reward 16.64, max_reward 99.0, actual_mean_reward 63.66
Ep 12400 Up 774528: mean reward 17.99, max_reward 66.0, actual_mean_reward 66.58
Ep 12500 Up 784941: mean reward 14.42, max_reward 87.0, actual_mean_reward 46.37
Ep 12600 Up 797547: mean reward 16.64, max_reward 86.0, actual_mean_reward 68.60
Ep 12700 Up 809013: mean reward 16.80, max_reward 91.0, actual_mean_reward 78.52
Ep 12800 Up 821366: mean reward 18.25, max_reward 80.0, actual_mean_reward 71.11
Ep 12900 Up 834733: mean reward 18.38, max_reward 78.0, actual_mean_reward 66.88
Ep 13000 Up 849489: mean reward 18.51, max_reward 99.0, actual_mean_reward 58.60
Ep 13100 Up 860754: mean reward 16.67, max_reward 87.0, actual_mean_reward 10.87
Ep 13200 Up 873516: mean reward 19.16, max_reward 78.0, actual_mean_reward 61.79
Ep 13300 Up 885039: mean reward 17.17, max_reward 79.0, actual_mean_reward 52.79
Ep 13400 Up 899877: mean reward 18.83, max_reward 86.0, actual_mean_reward 52.53
Ep 13500 Up 913227: mean reward 18.01, max_reward 78.0, actual_mean_reward 52.01
Ep 13600 Up 923062: mean reward 13.98, max_reward 73.0, actual_mean_reward 57.65
Ep 13700 Up 936619: mean reward 17.22, max_reward 93.0, actual_mean_reward 77.85
Ep 13800 Up 951849: mean reward 18.61, max_reward 81.0, actual_mean_reward 74.36
Ep 13900 Up 963275: mean reward 15.71, max_reward 94.0, actual_mean_reward 68.34
Ep 14000 Up 977215: mean reward 18.30, max_reward 90.0, actual_mean_reward 72.99
Ep 14100 Up 988215: mean reward 16.37, max_reward 97.0, actual_mean_reward 64.06
Ep 14200 Up 999097: mean reward 16.80, max_reward 96.0, actual_mean_reward 50.64
Ep 14300 Up 1013718: mean reward 18.96, max_reward 102.0, actual_mean_reward 70.87
Ep 14400 Up 1026450: mean reward 18.52, max_reward 92.0, actual_mean_reward 82.42
Ep 14500 Up 1037931: mean reward 16.82, max_reward 100.0, actual_mean_reward 62.34
Ep 14600 Up 1050954: mean reward 17.83, max_reward 78.0, actual_mean_reward 74.28
Ep 14700 Up 1061847: mean reward 16.66, max_reward 81.0, actual_mean_reward 74.10
Ep 14800 Up 1075647: mean reward 19.07, max_reward 81.0, actual_mean_reward 71.77
Ep 14900 Up 1087294: mean reward 17.55, max_reward 84.0, actual_mean_reward 74.85
Ep 15000 Up 1100032: mean reward 17.26, max_reward 98.0, actual_mean_reward 74.64
Ep 15100 Up 1113116: mean reward 18.97, max_reward 102.0, actual_mean_reward 68.13
Ep 15200 Up 1125205: mean reward 16.97, max_reward 93.0, actual_mean_reward 64.40
Ep 15300 Up 1137709: mean reward 16.57, max_reward 81.0, actual_mean_reward 55.46
Ep 15400 Up 1150451: mean reward 18.09, max_reward 70.0, actual_mean_reward 43.22
Ep 15500 Up 1162671: mean reward 18.22, max_reward 83.0, actual_mean_reward 70.17
Ep 15600 Up 1174362: mean reward 17.72, max_reward 84.0, actual_mean_reward 70.30
Ep 15700 Up 1186200: mean reward 17.88, max_reward 88.0, actual_mean_reward 50.40
Ep 15800 Up 1198855: mean reward 16.53, max_reward 86.0, actual_mean_reward 66.05
Ep 15900 Up 1211024: mean reward 17.26, max_reward 80.0, actual_mean_reward 55.69
Ep 16000 Up 1223711: mean reward 18.65, max_reward 96.0, actual_mean_reward 78.24
Ep 16100 Up 1234350: mean reward 16.94, max_reward 83.0, actual_mean_reward 59.26
Ep 16200 Up 1245346: mean reward 16.66, max_reward 76.0, actual_mean_reward 66.67
Ep 16300 Up 1259573: mean reward 18.31, max_reward 87.0, actual_mean_reward 75.49
Ep 16400 Up 1270521: mean reward 15.33, max_reward 97.0, actual_mean_reward 17.65
Ep 16500 Up 1280833: mean reward 15.83, max_reward 96.0, actual_mean_reward 57.45
Ep 16600 Up 1290053: mean reward 13.65, max_reward 86.0, actual_mean_reward 50.68
Ep 16700 Up 1302146: mean reward 17.54, max_reward 94.0, actual_mean_reward 68.86
Ep 16800 Up 1311820: mean reward 14.20, max_reward 101.0, actual_mean_reward 67.12
Ep 16900 Up 1322360: mean reward 13.60, max_reward 69.0, actual_mean_reward 65.43
Ep 17000 Up 1332628: mean reward 16.64, max_reward 93.0, actual_mean_reward 66.18
Ep 17100 Up 1343311: mean reward 17.04, max_reward 85.0, actual_mean_reward 68.17
Ep 17200 Up 1357789: mean reward 18.68, max_reward 89.0, actual_mean_reward 59.61
Ep 17300 Up 1367857: mean reward 14.19, max_reward 89.0, actual_mean_reward 12.10
Ep 17400 Up 1376802: mean reward 11.29, max_reward 74.0, actual_mean_reward 78.36
Ep 17500 Up 1392435: mean reward 19.68, max_reward 87.0, actual_mean_reward 64.98
Ep 17600 Up 1405027: mean reward 17.17, max_reward 95.0, actual_mean_reward 69.67
Ep 17700 Up 1416301: mean reward 16.33, max_reward 92.0, actual_mean_reward 58.67
Ep 17800 Up 1424408: mean reward 12.67, max_reward 59.0, actual_mean_reward 70.63
Ep 17900 Up 1434231: mean reward 17.24, max_reward 79.0, actual_mean_reward 69.05
Ep 18000 Up 1445833: mean reward 16.86, max_reward 78.0, actual_mean_reward 52.03
Ep 18100 Up 1458087: mean reward 18.10, max_reward 87.0, actual_mean_reward 76.15
Ep 18200 Up 1464828: mean reward 7.83, max_reward 59.0, actual_mean_reward 24.68
Ep 18300 Up 1476064: mean reward 16.71, max_reward 85.0, actual_mean_reward 64.25
Ep 18400 Up 1487327: mean reward 16.66, max_reward 99.0, actual_mean_reward 60.05
Ep 18500 Up 1497237: mean reward 16.28, max_reward 85.0, actual_mean_reward 61.40
Ep 18600 Up 1506626: mean reward 15.39, max_reward 70.0, actual_mean_reward 54.04
Ep 18700 Up 1516948: mean reward 16.65, max_reward 80.0, actual_mean_reward 59.06
Ep 18800 Up 1528156: mean reward 17.91, max_reward 92.0, actual_mean_reward 64.38
Ep 18900 Up 1542160: mean reward 17.75, max_reward 92.0, actual_mean_reward 70.44
Ep 19000 Up 1554624: mean reward 17.40, max_reward 93.0, actual_mean_reward 69.01
Ep 19100 Up 1565715: mean reward 16.69, max_reward 84.0, actual_mean_reward 78.28
Ep 19200 Up 1578999: mean reward 18.23, max_reward 90.0, actual_mean_reward 80.89
Ep 19300 Up 1593049: mean reward 19.14, max_reward 103.0, actual_mean_reward 75.57
Ep 19400 Up 1604795: mean reward 17.57, max_reward 66.0, actual_mean_reward 80.25
Ep 19500 Up 1619902: mean reward 19.21, max_reward 95.0, actual_mean_reward 61.76
Ep 19600 Up 1630981: mean reward 16.70, max_reward 84.0, actual_mean_reward 76.78
Ep 19700 Up 1642793: mean reward 17.24, max_reward 101.0, actual_mean_reward 58.73
Ep 19800 Up 1654101: mean reward 18.04, max_reward 87.0, actual_mean_reward 67.51
Ep 19900 Up 1663047: mean reward 12.37, max_reward 72.0, actual_mean_reward 42.10
Ep 20000 Up 1674006: mean reward 16.81, max_reward 81.0, actual_mean_reward 62.65
Ep 20100 Up 1686391: mean reward 18.33, max_reward 85.0, actual_mean_reward 65.79
Ep 20200 Up 1698444: mean reward 16.75, max_reward 96.0, actual_mean_reward 59.66
Ep 20300 Up 1704648: mean reward 9.39, max_reward 76.0, actual_mean_reward 39.91
Ep 20400 Up 1713849: mean reward 14.96, max_reward 78.0, actual_mean_reward 52.62
Ep 20500 Up 1724329: mean reward 16.91, max_reward 75.0, actual_mean_reward 69.26
Ep 20600 Up 1735819: mean reward 17.65, max_reward 92.0, actual_mean_reward 52.52
Ep 20700 Up 1746193: mean reward 15.99, max_reward 89.0, actual_mean_reward 78.67
Ep 20800 Up 1758169: mean reward 19.40, max_reward 90.0, actual_mean_reward 24.32
Ep 20900 Up 1765274: mean reward 10.10, max_reward 62.0, actual_mean_reward 17.64
Ep 21000 Up 1771960: mean reward 9.13, max_reward 62.0, actual_mean_reward 34.15
Ep 21100 Up 1781812: mean reward 15.48, max_reward 83.0, actual_mean_reward 45.19
Ep 21200 Up 1791276: mean reward 13.85, max_reward 79.0, actual_mean_reward 41.47
Ep 21300 Up 1801179: mean reward 16.80, max_reward 86.0, actual_mean_reward 67.30
Ep 21400 Up 1811515: mean reward 16.14, max_reward 75.0, actual_mean_reward 53.34
Ep 21500 Up 1821312: mean reward 17.40, max_reward 82.0, actual_mean_reward 57.65
Ep 21600 Up 1830293: mean reward 14.99, max_reward 71.0, actual_mean_reward 46.31
Ep 21700 Up 1841466: mean reward 17.07, max_reward 98.0, actual_mean_reward 57.04
Ep 21800 Up 1852712: mean reward 18.13, max_reward 76.0, actual_mean_reward 60.46
Ep 21900 Up 1864069: mean reward 17.63, max_reward 78.0, actual_mean_reward 74.70
Ep 22000 Up 1874316: mean reward 16.14, max_reward 83.0, actual_mean_reward 72.42
Ep 22100 Up 1888056: mean reward 17.22, max_reward 77.0, actual_mean_reward 64.87
Ep 22200 Up 1899750: mean reward 17.78, max_reward 92.0, actual_mean_reward 79.23
Ep 22300 Up 1910444: mean reward 13.45, max_reward 84.0, actual_mean_reward 11.57
Ep 22400 Up 1920756: mean reward 14.25, max_reward 75.0, actual_mean_reward 50.32
Ep 22500 Up 1933241: mean reward 16.67, max_reward 90.0, actual_mean_reward 42.58
Ep 22600 Up 1946886: mean reward 17.83, max_reward 92.0, actual_mean_reward 69.66
Ep 22700 Up 1957096: mean reward 13.58, max_reward 85.0, actual_mean_reward 70.82
Ep 22800 Up 1967916: mean reward 12.80, max_reward 91.0, actual_mean_reward 13.33
Ep 22900 Up 1976224: mean reward 12.98, max_reward 79.0, actual_mean_reward 69.03
Ep 23000 Up 1989349: mean reward 16.24, max_reward 81.0, actual_mean_reward 68.72
Ep 23100 Up 1997236: mean reward 11.63, max_reward 73.0, actual_mean_reward 29.18
Ep 23200 Up 2006107: mean reward 14.06, max_reward 80.0, actual_mean_reward 26.51
Ep 23300 Up 2015037: mean reward 13.71, max_reward 67.0, actual_mean_reward 42.95
Ep 23400 Up 2023148: mean reward 11.28, max_reward 62.0, actual_mean_reward 53.64
Ep 23500 Up 2033748: mean reward 15.79, max_reward 78.0, actual_mean_reward 66.64
Ep 23600 Up 2047384: mean reward 17.25, max_reward 101.0, actual_mean_reward 68.67
Ep 23700 Up 2058133: mean reward 14.88, max_reward 84.0, actual_mean_reward 61.85
Ep 23800 Up 2066777: mean reward 14.59, max_reward 90.0, actual_mean_reward 55.19
Ep 23900 Up 2075953: mean reward 11.50, max_reward 82.0, actual_mean_reward 34.23
Ep 24000 Up 2084306: mean reward 12.02, max_reward 55.0, actual_mean_reward 72.57
Ep 24100 Up 2096538: mean reward 18.44, max_reward 86.0, actual_mean_reward 61.27
Ep 24200 Up 2108379: mean reward 16.57, max_reward 76.0, actual_mean_reward 64.84
Ep 24300 Up 2118805: mean reward 16.07, max_reward 87.0, actual_mean_reward 57.25
Ep 24400 Up 2127752: mean reward 13.67, max_reward 91.0, actual_mean_reward 35.85
Ep 24500 Up 2138276: mean reward 16.00, max_reward 82.0, actual_mean_reward 61.32
Ep 24600 Up 2147794: mean reward 14.61, max_reward 79.0, actual_mean_reward 67.15
Ep 24700 Up 2159963: mean reward 17.67, max_reward 90.0, actual_mean_reward 63.97
Ep 24800 Up 2170955: mean reward 16.24, max_reward 86.0, actual_mean_reward 35.46
Ep 24900 Up 2180745: mean reward 15.44, max_reward 105.0, actual_mean_reward 60.28
Ep 25000 Up 2192405: mean reward 16.81, max_reward 71.0, actual_mean_reward 74.57
Ep 25100 Up 2201879: mean reward 15.49, max_reward 82.0, actual_mean_reward 35.24
Ep 25200 Up 2212547: mean reward 15.62, max_reward 80.0, actual_mean_reward 70.20
Ep 25300 Up 2222765: mean reward 15.31, max_reward 67.0, actual_mean_reward 64.32
Ep 25400 Up 2229732: mean reward 9.89, max_reward 58.0, actual_mean_reward 17.41
Ep 25500 Up 2239711: mean reward 13.79, max_reward 93.0, actual_mean_reward 69.24
Ep 25600 Up 2251442: mean reward 17.58, max_reward 94.0, actual_mean_reward 64.43
Ep 25700 Up 2261240: mean reward 14.52, max_reward 93.0, actual_mean_reward 60.24
Ep 25800 Up 2270516: mean reward 13.35, max_reward 88.0, actual_mean_reward 68.21
Ep 25900 Up 2280560: mean reward 15.59, max_reward 69.0, actual_mean_reward 59.22
Ep 26000 Up 2288566: mean reward 12.20, max_reward 71.0, actual_mean_reward 71.62
Ep 26100 Up 2301707: mean reward 18.22, max_reward 86.0, actual_mean_reward 56.91
Ep 26200 Up 2313781: mean reward 17.28, max_reward 92.0, actual_mean_reward 54.10
Ep 26300 Up 2321534: mean reward 10.92, max_reward 79.0, actual_mean_reward 6.43
Ep 26400 Up 2331437: mean reward 12.21, max_reward 94.0, actual_mean_reward 68.29
Ep 26500 Up 2342150: mean reward 15.55, max_reward 88.0, actual_mean_reward 74.42
Ep 26600 Up 2351986: mean reward 16.11, max_reward 93.0, actual_mean_reward 9.21
Ep 26700 Up 2359207: mean reward 8.72, max_reward 69.0, actual_mean_reward 63.66
Ep 26800 Up 2369607: mean reward 15.96, max_reward 77.0, actual_mean_reward 68.83
Ep 26900 Up 2379374: mean reward 15.99, max_reward 70.0, actual_mean_reward 13.50
Ep 27000 Up 2389587: mean reward 14.83, max_reward 88.0, actual_mean_reward 44.17
Ep 27100 Up 2399143: mean reward 13.03, max_reward 79.0, actual_mean_reward 9.40
Ep 27200 Up 2410451: mean reward 15.26, max_reward 96.0, actual_mean_reward 65.58
Ep 27300 Up 2419595: mean reward 12.25, max_reward 84.0, actual_mean_reward 51.20
Ep 27400 Up 2431254: mean reward 17.45, max_reward 88.0, actual_mean_reward 72.50
Ep 27500 Up 2443866: mean reward 15.65, max_reward 92.0, actual_mean_reward 59.61
Ep 27600 Up 2450006: mean reward 8.92, max_reward 85.0, actual_mean_reward 4.36
Ep 27700 Up 2459392: mean reward 13.02, max_reward 101.0, actual_mean_reward 48.08
Ep 27800 Up 2472043: mean reward 18.15, max_reward 100.0, actual_mean_reward 81.89
Ep 27900 Up 2482597: mean reward 14.99, max_reward 87.0, actual_mean_reward 70.45
Ep 28000 Up 2494634: mean reward 17.13, max_reward 86.0, actual_mean_reward 71.17
